date,raw_value,z_score,trembling,direction,source_note,obs_date
2026-06-22,104,,0,,Yahoo USDCNH 6.7775 − USDCNY 6.7671 (pips),
2026-06-23,38,,0,,Yahoo USDCNH 6.7778 − USDCNY 6.7740 (pips),
2026-06-24,91,,0,,Yahoo USDCNH 6.7935 − USDCNY 6.7844 (pips),
2026-06-25,26,,0,,Yahoo USDCNH 6.8127 − USDCNY 6.8101 (pips),
2026-06-26,119,,0,,Yahoo USDCNH 6.8011 − USDCNY 6.7892 (pips),
2026-06-27,133,,0,,Yahoo USDCNH 6.8030 − USDCNY 6.7897 (pips),
2026-06-28,133,,0,,Yahoo USDCNH 6.8030 − USDCNY 6.7897 (pips),
2026-06-29,115,,0,,Yahoo USDCNH 6.8012 − USDCNY 6.7897 (pips),
2026-06-30,111,,0,,Yahoo USDCNH 6.7979 − USDCNY 6.7868 (pips),
2026-07-01,122,,0,,Yahoo USDCNH 6.7905 − USDCNY 6.7783 (pips),
2026-07-02,-4,-5.442,1,down,Yahoo USDCNH 6.7934 − USDCNY 6.7938 (pips),
2026-07-03,110,-0.034,0,down,Yahoo USDCNH 6.7877 − USDCNY 6.7767 (pips),
2026-07-04,135,1.066,0,up,Yahoo USDCNH 6.7837 − USDCNY 6.7702 (pips),
2026-07-05,135,0.809,0,up,Yahoo USDCNH 6.7837 − USDCNY 6.7702 (pips),
2026-07-06,42,-2.394,0,down,Yahoo USDCNH 6.7834 − USDCNY 6.7792 (pips),
2026-07-07,-20,-4.016,1,down,Yahoo USDCNH 6.7933 − USDCNY 6.7953 (pips),
2026-07-08,98,-0.375,0,down,Yahoo USDCNH 6.8027 − USDCNY 6.7929 (pips),
2026-07-09,35,-2.199,0,down,Yahoo USDCNH 6.8055 − USDCNY 6.8020 (pips),
2026-07-10,18,-2.309,0,down,Yahoo USDCNH 6.7944 − USDCNY 6.7926 (pips),
