date,raw_value,z_score,trembling,direction,source_note,obs_date
2026-06-22,0.4254,,0,,GPSJam 2026-06-21: 14157/3328209 aircraft with bad GPS,2026-06-21
2026-06-23,0.4254,,0,,GPSJam 2026-06-21: 14157/3328209 aircraft with bad GPS,2026-06-21
2026-06-24,0.47,,0,,GPSJam 2026-06-22: 15774/3355985 aircraft with bad GPS,2026-06-22
2026-06-25,0.4919,,0,,GPSJam 2026-06-23: 16405/3334988 aircraft with bad GPS,2026-06-23
2026-06-26,0.415,,0,,GPSJam 2026-06-24: 14080/3392552 aircraft with bad GPS,2026-06-24
2026-06-27,0.3688,,0,,GPSJam 2026-06-25: 12821/3476714 aircraft with bad GPS,2026-06-25
2026-06-28,0.3753,,0,,GPSJam 2026-06-26: 13224/3523605 aircraft with bad GPS,2026-06-26
2026-06-29,0.3635,,0,,GPSJam 2026-06-27: 12132/3337453 aircraft with bad GPS,2026-06-27
2026-06-30,0.3396,,0,,GPSJam 2026-06-28: 11550/3401262 aircraft with bad GPS,2026-06-28
2026-07-01,0.4074,,0,,GPSJam 2026-06-29: 13726/3369127 aircraft with bad GPS,2026-06-29
2026-07-02,0.3677,-0.749,0,down,GPSJam 2026-06-30: 12410/3374996 aircraft with bad GPS,2026-06-30
2026-07-03,0.438,0.535,0,up,GPSJam 2026-07-01: 15175/3464326 aircraft with bad GPS,2026-07-01
2026-07-04,0.5107,1.714,0,up,GPSJam 2026-07-02: 17816/3488305 aircraft with bad GPS,2026-07-02
2026-07-05,0.5073,1.348,0,up,GPSJam 2026-07-03: 17157/3382344 aircraft with bad GPS,2026-07-03
2026-07-06,0.5706,2.005,0,up,GPSJam 2026-07-04: 17897/3136385 aircraft with bad GPS,2026-07-04
2026-07-07,0.5183,1.107,0,up,GPSJam 2026-07-05: 17074/3294541 aircraft with bad GPS,2026-07-05
2026-07-08,0.4717,0.546,0,up,GPSJam 2026-07-06: 16070/3407045 aircraft with bad GPS,2026-07-06
2026-07-09,0.5855,1.908,0,up,GPSJam 2026-07-07: 20053/3425155 aircraft with bad GPS,2026-07-07
2026-07-10,0.5313,0.909,0,up,GPSJam 2026-07-09: 18396/3462724 aircraft with bad GPS,2026-07-09
2026-07-11,0.5313,,0,,GPSJam 2026-07-09: 18396/3462724 aircraft with bad GPS [stale: observation already recorded],2026-07-09
2026-07-12,0.4746,0.230,0,up,GPSJam 2026-07-10: 16707/3520306 aircraft with bad GPS,2026-07-10
2026-07-13,0.5171,0.578,0,up,GPSJam 2026-07-11: 17363/3357733 aircraft with bad GPS,2026-07-11
2026-07-14,0.4802,0.122,0,up,GPSJam 2026-07-12: 16506/3437282 aircraft with bad GPS,2026-07-12
2026-07-15,0.4559,-0.229,0,down,GPSJam 2026-07-13: 15694/3442275 aircraft with bad GPS,2026-07-13
2026-07-16,0.4755,0.067,0,up,GPSJam 2026-07-14: 16234/3414061 aircraft with bad GPS,2026-07-14
2026-07-17,0.4892,0.255,0,up,GPSJam 2026-07-15: 17008/3477023 aircraft with bad GPS,2026-07-15
